tags,poem
poem,How much better it seems now than when it is finally done– the unforgettable first line the cunning way the stanzas run  The rhymes softspoken and suggestive are barely audible at first an appetite not yet acknowledged like the inkling of a thirst  While gradually the form appears as each line is coaxed aloud– the architecture of a room seen from the middle of a crowd  The music that of common speech but slanted so that each detail sounds unexpected as a sharp inserted in a simple scale  No jumble box of imagery dumped glumly in the readers lap or elegantly packaged junk the unsuspecting must unwrap  But words that could direct a friend precisely to an unknown place those few unshakeable details that no confusion can erase  And the real subject left unspoken but unmistakable to those who dont expect a jungle parrot in the black and white of prose  How much better it seems now than when it is finally written How hungrily one waits to feel the bright lure seized the old hook bitten 
winter,The schoolboys still their morning ramble take To neighboring village school with playing speed Loitering with passtimes leisure till they quake Oft looking up the wildgeese droves to heed Watching the letters which their journeys make Or plucking haws on which their fieldfares feed And hips and sloes and on each shallow lake Making glib slides where they like shadows go Till some fresh passtimes in their minds awake Then off they start anew and hasty blow Their numbed and clumpsing fingers till they glow Then races with their shadows wildly run That stride huge giants oer the shining snow In the pale splendour of the winter sun 
river,The broad river flows fierce than an ocean In front of the longest bridge Both of us at the two ends and the sign board says Not allowed for pedestrians and only for heavy vehicles Our fruition is fruitless and how long we have to stand like this Forget the racism my sweetheart Who made us with the same clay We break this primitive fundamental bridge Jump to the river and swim upstream 
faith,In faith I do not love thee with mine eyes For they in thee a thousand errors note But tis my heart that loves what they despise Who in despite of view is pleased to dote Nor are mine cars with thy tongues tune delighted Nor tender feeling to base touches prone Nor taste nor smell desire to be invited To any sensual feast with thee alone But my five wits nor my five senses can Dissuade one foolish heart from serving thee Who leaves unswayed the likeness of a man Thy proud hearts slave and vassal wretch to be Only my plague thus far I count my gain That she that makes me sin awards me pain 
father,Life has many ways of telling our age Each more interesting with each new page But in my heart you will never grow old Dear Father of mine with many stories to be told  With patience and love you guided me Bringing me up the best I could be You worked hard and long even after I was grown Thank you dear Father for the love you have shown  So much to be learned from your experience All you went through all your endurance I will always treasure what you have done Dear Father of mine youre number one  So often this child has failed to say How much youre loved each passing day And I thank God He picked you to be The Greatest Father ever for me 
music,Id like to spend April sitting on a hill With a mushroom for a parasol and violets for a frill And the wind for a violin To play spring tunes And the blossoms in the treetops For gay balloons Id like to spend April sitting on a mound Watching for the flowers to pop out of the ground With their green silk stockings And new spring clothes Trying to look taller by dancing on their toes   1993 
river,There is a hill ahead And Death is behind the hill I urge the horses onward onward  There is a river here Always there is a river Just when Death scents victory  White current seethes About black rocks How fair the meadow is After crossing the water 
food,Old habits die hard We only live in present and dont look forward Live with junk food and rotten ideas All our advice fall on dear ears with no regard to pleas  We are prepared to live with all diseases No matter even if life comes to stand still or ceases We will follow new trend with hectic life and tension Please don’t advise us in matter with confusion  This is what new generation thinks Very shortly their life boat sinks So much tension and no way out This is life style and whole story about  Nothing is attained out of this habit There is no strength left in feet They crumble with little more weight Only wait for instant result without fight  Nobody is willing to wait for a second Even though some of the things may be beyond We try with half willingness and less determination It is not likely to grow any fruitful relation  Good food habits leads to culmination of good thoughts Many successes are had without external help being sought It calm downs the eagerness and stream into real strategy The less time will be spent even after remaining so much busy 
rain,A slight rain comes bathed in dawn light I hear it among treetop leaves before mist Arrives Soon it sprinkles the soil and Windblown follows clouds away Deepened  Colors grace thatch homes for a moment Flocks and herds of things wild glisten Faintly Then the scent of musk opens across Half a mountain  and lingers on past noon 
freedom,Freedom has turned into an illusion Just to be an illusion We have created a desease As we do as we please The population will decline Because theyve drunk the poison wine Comes too late to purify To what we come to testify A nation conditioned only to do wrong Now we dont know where we come from 
remember,She was an evil stepmother In her old age she is slowly dying in an empty hovel  She shudders like a clutch of burnt paper She does not remember that she was evil But she knows that she feels cold   Translated from the Polish by Czeslaw Milosz and Leonard Nathan  Anonymous Submission 
romantic,Shall I just stand and let the eyes drink The wine in the petals is shocking pink Inhale your aroma and watch your dance Join naughty winds in a rainy romance Shall I touch you with the lovers lips But I know for me arent nectar sips As you are smiling for the butterflies The colorful Angels from the skies Who is hidden in you could you speak You are soft but dense youll never leak But the eyes of a lover with a lovely peep See Him smiling in your soul so deep 
home,1     The sun shines bright in the old Kentucky home 2     Tis summer the darkies are gay 3     The corn tops ripe and the meadows in the bloom 4     While the birds make music all the day 5     The young folks roll on the little cabin floor 6     All merry all happy and bright 7     Byn by Hard Times comes a knocking at the door 8     Then my old Kentucky Home good night  9     Chorus Weep no more my lady oh weep no more today 10   We will sing one song 11   For the old Kentucky Home 12   For the old Kentucky Home far away  13   Solo They hunt no more for the possum and the coon 14   On the meadow the hill and the shore 15   They sing no more by the glimmer of the moon 16   On the bench by the old cabin door 17   The day goes by like a shadow oer the heart 18   With sorrow where all was delight 19   The time has come when the darkies have to part 20   Then my old Kentucky Home goodnight  21   Chorus Weep no more my lady oh weep no more today 22   We will sing one song 23   For the old Kentucky Home 24   For the old Kentucky Home far away  25   Solo The head must bow and the back will have to bend 26   Wherever the darkey may go 27   A few more days and the trouble all will end 28   In the field where the sugarcanes grow 29   A few more days for to tote the weary load 30   No matter twill never be light 31   A few more days till we totter on the road 32   Then my old Kentucky Home goodnight  33   Chorus Weep no more my lady oh weep no more today 34   We will sing one song 35   For the old Kentucky Home 36   For the old Kentucky Home far away 
moon,A bright moon rising above Tian Shan Mountain Lost in a vast ocean of clouds The long wind across thousands upon thousands of miles Blows past the Jadegate Pass The army of Han has gone down the Baiteng Road As the barbarian hordes probe at Qinghai Bay It is known that from the battlefield Few ever live to return Men at Garrison look on the border scene Home thoughts deepen sorrow on their faces In the towered chambers tonight Ceaseless are the womens sighs 
dance,At first I thought she waltzed but then I saw the error of my observation powers She waddled all that blubber garnished with shoulder pads covert suspenders and duct tape size called infinity a wave of air preceded the mass mostly the temperature was high but in the noise of raucous laughter it was hard to tell what happened  Yes men were at her feet all over the dancing hall though hardwood on a polished floor is without comfort No one was able to keep standing it was too much to grin and bear  Majestic gestures emanated clearly there was confusion as to the identity and origin was this thing human then And in the end it was decided that it had been good to have this episode though fleeting pay its short visit although the most intriguing part about the thing consisted of its skills to speak of things that human beings hold dear some raunchy stuff included And all were shocked though pretty glad when hardwood planks did give and cracked and Blubber sank to vanish through the hole from where some devils must have grabbed to commandeer the energy all the triglycerides not food for thought but something quite substantial 
dance,Ill dance all night Ill dance the pain away Ill dance until the morning sun Graces us with day  Ill dance until Im numb Until I dont feel anymore Ill dance until Im gone And dont remember what Im dancing for  Ill dance until you love me Ill dance the rest of my life Ill dance until you return By the moons gentle light  Ill dance to the music Of my shattering heart Ill dance until it doesnt hurt As you tear me apart 
animal,No earthquake no thunder no volcanic eruption Or even there was not any of other natural calamities A sudden loud sound broke out all through the bush With whizzing shuddering cracking tearing echoing Fear horror dark terror misery and ill spirits spread Committing destruction death in a horrible situation Dust dirt smoke coiled over the whole atmosphere The harmless animals are quite perplexed helpless They began crying shouting running rushing fainting Seeing reddish spots and innumerable torn bodies  They blamed one another for committing the crime Brawling harming plotting hardened in them A long conflict complicated and awful tangled Loosing the worms of crime injustice and corruption The virtues sunk and the vices rose everywhere Envious state of barbarism terrorism inflicted on them The poor animals lost peace and principles they had Centuries curses engulfed all what was out of thought  Ferocious animals are in the neighboring big forest Who always wait for chances on the helpless ones They do not care for hesitating in violating terms Committing all sorts of hyenas and monstrous harms They know how and when to cook poisonous broth And how to throw an unseen net to catch the rest  Once some cats were quarrelling nearby the bush Some wild dogs of the big forest made an instant rush For repeated barking mewing was beyond of hearing Foxes and monkeys also joined within a quick haste Crows kites and vultures started crowing for the feast What more rats and mice left the bush being frightened Dreadful tumult commotion collision conflict took place At the arrival of buffalos deer bears wolfs and hyenas  But with sudden and unexpected appearance of Jaguars lions tigers and some bears rejoining to them Returning from the herd of small and weak beasts Consisting boars wolfs hyenas wild pigs and dogs Though wolfs and hyenas started loudly barking But came to no use and got chased retreated soon All the surroundings became instant silent and isolated All went away murmuring without more looking back  The victorious were excited having got all easy victory But they found troubles to enjoy the whole empire lonely So there were roaring shouting blustering threatening Of occupying empire power lordship and over lordship Finally all the bestial rules with ‘Might is right were Established in rules and regulations less animal state  Copyright © Muzahidul Reza  6 October 2016 
despair,I want to see what is hidden In the deep layers Of my life I wish to look On the other side Of a big glass door Thats blocking my view I desire if I can See smell and hear That sweet voice of hope and faith That I have lost I hope one day The door of illussion Will open successfully On its own So I can relax And not feel stressed from this constant race Of this life Where only struggle Greets my morns And pushes me to The edge of despair 
truth,Gone I say and walk from church refusing the stiff procession to the grave letting the dead ride alone in the hearse It is June  I am tired of being brave  We drive to the Cape  I cultivate myself where the sun gutters from the sky where the sea swings in like an iron gate and we touch  In another country people die  My darling the wind falls in like stones from the whitehearted water and when we touch we enter touch entirely  No ones alone Men kill for this or for as much  And what of the dead  They lie without shoes in the stone boats  They are more like stone than the sea would be if it stopped  They refuse to be blessed throat eye and knucklebone 
school,early in the morning school is calling time to hop out of bed jump on mum say itll be fun that is just the way dont be late please do stay mum dont leave so soon wait at the gate ill bring you out a mate meet trish who loves to eats fish can we go home ive had enough today was fun kind of my luck  bed time now why some how turn out the light say good night wake up school will call again NightNight time for bed again    next year is hear hipp horary cheer for school day is finally here     my first day of school 2002  
winter,Ok so Im sorry Isnt that what you wanted to know in that case you win  Ill send back your pictures and your books you can keep the dictionary some day you might put it to use Assuming you ever want to look up the definition of relationship or abandonment  Ill stop being acrimonious Ill stop talking to your sibling This year I promise to take better care of myself to rest more to read more to write more and overall just exist more  Ill stop blaming you for everything though its all your fault Ill accept my own downfalls loving you more wanting you more needing you more  So yeah Ill send back the pieces of you Your voice the ever present ringing in my ears Your avoidance my constant worry However Im keeping the kiss your last letter and the paper cut 
culture,Open your eyes… To the Culture Of Stupidity… It’s all around us… The Culture Of Stupidity …    We can’t escape… From the Culture Of Stupidity … It haunts and annoys us… The Culture Of Stupidity …    It’s hard to believe it… The Culture Of Stupidity … Why so many can’t see it… The Culture Of Stupidity …    So tell me The Culture Of Stupidity … How long will it go on…    The answer is as simple as this…  The Culture Of Stupidity shall live… As long as humankind will exist…   
laughter,The other day I had had The smell of spellbound emitted from her love That made me sorrowful and as a dead man later on But the blooming flowers were laughing and told at last You  are in a state of being intoxicatedtry to get out of obsession  My question was to them Do you know that scientist Einstein were fall in love too  They again laugh and laugh Meaningless laughter  I was inflamed and so shouted stop your laughter You are  emitting illusions too I know 
green,goodness reasons to revel by reality heart yet knows right path to heaven eyes raves back by illusion of mirage light refluxes into room of delusion  do we ever know depth of eyes by mystery as sands gleaned on shore delving blue myth of blindness yet they still read moment swirls by winds unfolding dreams  moon seems to be here on top of hill whispers allays sorrow by voices where is the time lost to living life when reasoned to grip of wine as desire mills through green of wild 
sun,Sometimes a mortal feels in himself Nature  not his Father but his Mother stirs within him and he becomes immortal with her immortality From time to time she claims kindredship with us and some globule from her veins steals up into our own  I am the autumnal sun With autumn gales my race is run When will the hazel put forth its flowers Or the grape ripen under my bowers When will the harvest or the hunters moon Turn my midnight into midnoon I am all sere and yellow And to my core mellow The mast is dropping within my woods The winter is lurking within my moods And the rustling of the withered leaf Is the constant music of my grief 
life,I keep the Cross before my eyes And know the sacrifice He made His life for mine His life for ALL Is what his dieing  did that day  I hear the shouts and feel the pain As He trudged His destined way Scourged deserted denied betrayed SoonHis death became   The heavons exploaded the lightened raged His followers bewildered lay All hope was lost Nothing remained   Then came the Glorious Easter Day  
running,Dr Death aka Jack Kevorkian is running for congress He is running for the 9th District seat in Michigan The incumbent Republican Joe Knollenberg to unseat Jack is 79 and he looks like death warmed over He’ll be lucky to make to November He has to have 3000 signatures for his name to be put on the ballot To bad he assisted suicides in many of his supporters at least 130 of them His lawyer Mayer Morganroth is mum on the word His previous lawyer Geoffery Feiger Argued that the society did not have The Knack to follow Dr Death’s thinking They Shoot Horses Don’t They Was the contention Maybe he can assist the Democratic Party its fray To lead to a new direction They seem destined for a self destruct convention  3122008 
friend,You smile upon your friend today Today his ills are over You hearken to the lovers say And happy is the lover  Tis late to hearken late to smile But better late than never I shall have lived a little while Before I die for ever 
son,One Word of Thine can heal my wounded heart One look divine can work wonders from start One Word of Thine can change water to wine One touch of Thine can make a Leper fine  Authority in Thine words what we find Divinity none can be than Thy mind Psychology of man Thou knowst so well Who can with the Son of God argue tell  What anger great Thou hast shown in some place Thine advice can soothe any angry face Thine parables drive home morals so great Sins the thing not the sinner Thou did hate What love Thou had shown to the poor brethren And kindness too to the atheist heathen 
husband,Eating wearing flowers delight in heart and beautifying are all only for him to see  O my friend  While knowing that in spite of my husband had left me for earning sake  you had come to beautify me Is it not your ignorance  him  husband accompanying maid or friend helps in beautifying the girl 
kiss,Away from the night Everyone moves across the street To be together far from They are attracted to the light And the music the flesh makes As it dies Traveling away from home A cross to where I have no eyes intersecting without hope And I can not see where she is gone The thing that never was between us And the flowers in the gutter leading To the sea before the sun rises The thing that never was dissolves and goes away In tiny fragments before the sun And her kiss imagined always felt But never All the pleasures of the system petals budding From the glowing stems Like lines on a road The conduits of rushing people Discarding me And I am roadkill lying dead beside Her bed as they make some kind of attempt at love And forgotten on her neck a broken gem Once priceless now trash In the shadows beside where all The lives move Dances to the lights and forgets Neighborhoods drunken and empty abandoned museums And the life flipping over in mausoleums Pages in a book read but Not understood a bed of transgressions And falsehoods madeup to hide the stains Like the nights coming on attracting the Insects calling our humanity a god of weekends And spirits past Forgetting to resist the temptation Where my wrist lays open and waiting  For a kiss 
winter,1     For weeks and weeks the autumn world stood still 2         Clothed in the shadow of a smoky haze 3     The fields were dead the wind had lost its will 4     And all the lands were hushed by wood and hill 5         In those grey withered days  6     Behind a mist the blear sun rose and set 7         At night the moon would nestle in a cloud 8     The fisherman a ghost did cast his net 9     The lake its shores forgot to chafe and fret 10       And hushed its caverns loud  11   Far in the smoky woods the birds were mute 12       Save that from blackened tree a jay would scream 13   Or far in swamps the lizards lonesome lute 14   Would pipe in thirst or by some gnarlèd root 15       The treetoad trilled his dream  16   From day to day still hushed the seasons mood 17       The streams stayed in their runnels shrunk and dry 18   Suns rose aghast by wave and shore and wood 19   And all the world with ominous silence stood 20       In weird expectancy  21   When one strange night the sun like blood went down 22       Flooding the heavens in a ruddy hue 23   Red grew the lake the sere fields parched and brown 24   Red grew the marshes where the creeks stole down 25       But never a windbreath blew  26   That night I felt the winter in my veins 27       A joyous tremor of the icy glow 28   And woke to hear the norths wild vibrant strains 29   While far and wide by withered woods and plains 30       Fast fell the driving snow 
